ID,Usia,Pendapatan,Gender,Status_Pekerjaan,Pendidikan,Jml_Keluarga,Transaksi_BulanIni,Status_Kesehatan,Tingkat_Konsumsi
34,44,134179284.30632828,L,Pekerja Swasta,S3,2,1,Sakit Ringan,Sedang
35,59,167296738.0977689,L,Pegawai Negeri,SMA,1,11,Sehat,Sedang
36,45,135353744.554808,P,Pegawai Negeri,S1,6,10,Sakit Ringan,Sedang
37,33,75871657.15325207,P,Pegawai Negeri,S2,1,3,Sakit Berat,Tinggi
38,32,138100007.0860701,L,Wiraswasta,S2,2,6,Sakit Ringan,Sedang
39,64,57883114.582978204,P,Pegawai Negeri,D3,3,4,Sakit Ringan,Sedang
40,68,77285899.51029575,L,Pegawai Negeri,S2,1,10,Sehat,Rendah
41,61,63212537.55929216,P,Pekerja Swasta,S3,1,15,Sehat,Sedang
42,69,120246518.43023717,L,Pelajar,SMA,4,9,Sehat,Sedang
43,20,39480796.41779875,P,Wiraswasta,SMA,2,8,Sehat,Sedang
44,54,187995868.46270096,L,Pegawai Negeri,S2,6,5,Sakit Berat,Sedang
45,68,80032223.65931603,L,Pelajar,S1,1,12,Sehat,Rendah
46,24,59414622.87904424,P,Pegawai Negeri,S3,6,3,Sakit Ringan,Sedang
47,38,109378966.44832963,P,Pegawai Negeri,S2,1,10,Sehat,Sedang
48,26,69859607.3218489,P,Pekerja Swasta,S3,3,10,Sakit Berat,Sedang
49,56,116282735.54887597,P,Pelajar,S1,2,15,Sakit Berat,Sedang
50,35,82731646.96077538,L,Pekerja Swasta,S3,1,19,Sehat,Tinggi
51,21,43772025.938427344,L,Pekerja Swasta,S3,3,18,Sehat,Sedang
52,42,67861143.56490716,L,Pegawai Negeri,S3,1,5,Sehat,Rendah
53,31,98919172.09307455,L,Pegawai Negeri,SMA,5,16,Sehat,Tinggi
54,67,25452780.76633261,L,Pegawai Negeri,S1,3,17,Sakit Ringan,Sedang
55,26,158715654.86265716,L,Pelajar,SMA,6,3,Sakit Ringan,Rendah
56,43,131928421.62627484,L,Pelajar,D3,5,17,Sakit Berat,Sedang
57,70,128244729.31010376,L,Pelajar,S2,1,10,Sehat,Tinggi
58,19,118288987.73889787,P,Pelajar,SMA,3,11,Sehat,Tinggi
59,37,126256371.01851234,L,Pegawai Negeri,S3,2,9,Sakit Ringan,Rendah
60,45,188237351.4872997,P,Pegawai Negeri,D3,6,2,Sehat,Rendah
61,64,21542457.945933323,P,Pekerja Swasta,S1,4,14,Sakit Ringan,Tinggi
62,24,28603947.738394868,P,Pegawai Negeri,S1,1,17,Sakit Berat,Sedang
63,61,54468813.78754442,P,Pelajar,SMA,3,15,Sakit Berat,Tinggi
64,25,50114248.39876702,L,Wiraswasta,S3,5,6,Sehat,Sedang
65,64,52615002.70445288,P,Pegawai Negeri,S3,3,10,Sehat,Rendah
66,52,140949899.45275703,L,Pelajar,S1,2,9,Sehat,Tinggi
67,31,102706994.18902975,L,Pekerja Swasta,S3,3,8,Sakit Ringan,Sedang
68,34,198520198.10024476,P,Pegawai Negeri,S2,5,19,Sakit Ringan,Sedang
69,53,60839464.66453007,L,Wiraswasta,SMA,1,17,Sakit Berat,Tinggi
70,67,75949418.18494904,L,Pelajar,SMA,6,20,Sakit Ringan,Tinggi
71,57,197163329.02429682,P,Pegawai Negeri,S3,5,12,Sehat,Sedang
72,21,169716465.34440446,P,Pelajar,S1,6,9,Sakit Berat,Sedang
73,19,104563859.7221359,L,Wiraswasta,S2,6,20,Sehat,Rendah
74,23,119827439.39827815,L,Wiraswasta,S2,5,11,Sakit Ringan,Sedang
75,59,171772025.7175113,L,Pekerja Swasta,S2,5,12,Sakit Ringan,Tinggi
76,21,106576444.28833905,L,Wiraswasta,D3,4,20,Sehat,Tinggi
77,46,57084270.244775176,P,Pegawai Negeri,S3,6,4,Sehat,Sedang
78,35,169120016.93978938,P,Wiraswasta,S2,1,11,Sakit Berat,Sedang
79,43,116799048.42961581,P,Pegawai Negeri,S3,4,3,Sakit Ringan,Sedang
80,61,47547667.489487834,P,Pegawai Negeri,S1,6,2,Sakit Ringan,Rendah
81,51,111005449.61319156,L,Pelajar,S1,3,13,Sakit Berat,Tinggi
82,27,94376608.50743458,P,Pegawai Negeri,S1,1,2,Sakit Berat,Tinggi
83,53,177831655.73871642,L,Pegawai Negeri,D3,1,1,Sakit Ringan,Sedang
84,31,42689977.644926615,L,Pekerja Swasta,S1,6,7,Sakit Berat,Rendah
85,48,177537764.8006446,P,Pelajar,S3,3,6,Sakit Ringan,Rendah
86,65,112197983.02585125,L,Pegawai Negeri,SMA,3,1,Sakit Ringan,Sedang
87,32,92785597.39660658,L,Pekerja Swasta,SMA,5,17,Sakit Berat,Tinggi
88,25,49154093.19252926,L,Pelajar,S3,6,16,Sakit Berat,Rendah
89,31,146147233.27496228,P,Wiraswasta,SMA,6,13,Sakit Berat,Sedang
90,40,186825207.63980728,L,Pegawai Negeri,S2,1,11,Sakit Ringan,Tinggi
91,57,87567923.70187756,L,Wiraswasta,SMA,2,17,Sakit Berat,Tinggi
92,38,63485300.12075002,L,Pelajar,D3,6,16,Sakit Ringan,Sedang
93,33,119876045.05984826,L,Pelajar,S1,5,15,Sehat,Tinggi
94,62,163313470.71809664,P,Pekerja Swasta,SMA,1,9,Sakit Berat,Rendah
95,35,20678185.01909595,P,Pegawai Negeri,SMA,3,3,Sakit Ringan,Tinggi
96,64,133647938.55117726,L,Pegawai Negeri,D3,3,1,Sakit Ringan,Rendah
97,70,127372880.12575355,L,Pekerja Swasta,D3,2,4,Sakit Ringan,Rendah
98,41,77267393.44474882,L,Wiraswasta,SMA,1,13,Sakit Berat,Sedang
99,43,101256140.64889467,P,Pelajar,S2,4,9,Sakit Berat,Sedang
100,42,64453380.34912777,P,Pekerja Swasta,SMA,5,7,Sehat,Tinggi
101,62,162179432.8313317,L,Pelajar,S2,1,0,Sakit Berat,Rendah
102,58,134216288.00589938,L,Wiraswasta,S1,4,8,Sehat,Rendah
103,46,115888091.96701735,P,Wiraswasta,S3,3,20,Sehat,Rendah
104,32,90654715.7152089,L,Wiraswasta,S1,3,4,Sehat,Rendah
105,62,72449189.48373178,P,Pegawai Negeri,SMA,4,8,Sehat,Rendah
106,18,168092567.48781765,L,Pelajar,SMA,4,8,Sakit Berat,Tinggi
107,42,101253380.67804243,L,Pelajar,S2,2,17,Sehat,Rendah
108,24,110260535.57150109,L,Pekerja Swasta,D3,1,4,Sakit Berat,Sedang
109,26,113749171.4973335,L,Pelajar,S2,3,15,Sakit Berat,Sedang
110,41,100706048.37768376,P,Pegawai Negeri,D3,5,1,Sakit Berat,Rendah
111,18,66095916.722916275,P,Pekerja Swasta,D3,3,3,Sakit Berat,Tinggi
112,61,41661279.243749365,P,Wiraswasta,D3,1,20,Sakit Berat,Sedang
113,25,37736708.090193324,L,Pelajar,D3,4,17,Sakit Ringan,Tinggi
114,41,156343254.20132396,L,Pegawai Negeri,SMA,2,4,Sakit Berat,Sedang
115,28,60235008.01427204,P,Pegawai Negeri,S3,3,7,Sakit Berat,Rendah
116,68,30021106.691715606,P,Pelajar,S3,2,11,Sehat,Sedang
117,34,163553133.20525947,L,Pegawai Negeri,S1,4,13,Sehat,Rendah
118,25,47731097.51491664,P,Wiraswasta,S1,6,16,Sehat,Rendah
119,52,132526296.51200372,L,Pelajar,S1,1,11,Sehat,Rendah
120,52,80955788.86061537,P,Pelajar,S2,3,1,Sehat,Sedang
121,50,42766446.204435706,L,Pelajar,S1,1,3,Sehat,Tinggi
122,22,94606576.26578479,L,Pekerja Swasta,S1,5,10,Sakit Berat,Sedang
123,59,22665595.003872525,P,Wiraswasta,S1,1,11,Sakit Berat,Tinggi
124,56,171388096.85226086,P,Pegawai Negeri,SMA,6,18,Sehat,Rendah
125,58,112429633.0415343,L,Pelajar,S1,4,1,Sakit Ringan,Tinggi
126,45,45048801.96343313,L,Pelajar,S3,4,9,Sakit Ringan,Rendah
127,24,62656457.31001724,P,Pegawai Negeri,SMA,5,9,Sakit Berat,Sedang
128,26,100635534.5849348,L,Wiraswasta,D3,1,1,Sakit Berat,Tinggi
129,25,53996488.90679876,P,Pegawai Negeri,S2,6,18,Sakit Ringan,Tinggi
130,29,68347849.07019547,L,Pegawai Negeri,SMA,4,19,Sakit Ringan,Tinggi
131,51,116189401.56234737,P,Pelajar,SMA,4,3,Sehat,Sedang
132,50,169869622.3469094,L,Pekerja Swasta,S3,4,17,Sakit Ringan,Tinggi
133,65,92331143.42418574,L,Pekerja Swasta,S1,4,19,Sehat,Rendah
134,40,149055549.2396387,L,Pekerja Swasta,D3,2,17,Sakit Berat,Sedang
135,41,177803158.4229167,L,Pekerja Swasta,S3,3,13,Sakit Berat,Rendah
136,54,58934169.25330915,L,Pekerja Swasta,S3,2,19,Sehat,Rendah
137,52,165294554.67238882,L,Pelajar,SMA,4,12,Sakit Berat,Sedang
138,61,156332395.69958493,L,Pekerja Swasta,D3,6,14,Sakit Berat,Rendah
139,57,84248713.6306643,P,Pegawai Negeri,S3,1,14,Sehat,Tinggi
140,39,198113592.71015608,P,Pelajar,S2,2,19,Sakit Ringan,Rendah
141,44,67263026.85847226,L,Pegawai Negeri,S2,5,3,Sakit Berat,Tinggi
142,52,65864587.8857052,P,Pekerja Swasta,S3,3,14,Sakit Ringan,Sedang
143,18,159006649.6375756,P,Wiraswasta,SMA,1,13,Sakit Ringan,Rendah
144,52,98238317.24919516,L,Pekerja Swasta,S2,2,6,Sakit Berat,Rendah
145,54,79543099.0605878,P,Pelajar,SMA,3,16,Sakit Ringan,Tinggi
146,64,52159304.96103853,L,Pegawai Negeri,S1,6,8,Sakit Berat,Rendah
147,31,157759837.56821793,P,Wiraswasta,S1,2,3,Sakit Berat,Tinggi
148,20,161537925.10449386,P,Wiraswasta,SMA,5,17,Sehat,Rendah
149,18,121981520.58142528,P,Wiraswasta,S3,4,12,Sakit Berat,Sedang
150,22,192316450.3744471,L,Pegawai Negeri,S1,5,14,Sehat,Tinggi
151,43,77269388.67607775,P,Pelajar,S1,4,3,Sehat,Rendah
152,31,59531428.1862807,L,Wiraswasta,S2,3,17,Sehat,Rendah
153,56,141944018.40820312,L,Pegawai Negeri,S3,2,9,Sehat,Tinggi
154,44,156513555.34394684,P,Pegawai Negeri,SMA,2,6,Sehat,Rendah
155,26,60483074.69932803,L,Pekerja Swasta,S1,5,5,Sakit Ringan,Rendah
156,32,33789937.56700038,L,Pegawai Negeri,S3,1,12,Sehat,Tinggi
157,32,165892967.58554697,P,Pelajar,S1,3,17,Sehat,Tinggi
158,43,195770355.25628224,L,Pelajar,S2,6,8,Sakit Ringan,Sedang
159,59,136041011.49301118,P,Wiraswasta,S3,4,10,Sehat,Sedang
160,30,70016042.02590095,P,Pegawai Negeri,D3,3,15,Sakit Ringan,Tinggi
161,68,199401069.53950256,L,Pegawai Negeri,S2,6,7,Sakit Ringan,Rendah
162,49,180787994.52807394,P,Pekerja Swasta,SMA,5,4,Sehat,Tinggi
163,56,112408516.3304529,P,Pekerja Swasta,S3,6,14,Sakit Berat,Rendah
164,66,168557831.27153006,L,Pegawai Negeri,S1,2,1,Sakit Berat,Sedang
165,69,166847694.18733403,L,Pegawai Negeri,S3,4,4,Sehat,Tinggi
166,49,188263814.5412299,L,Pegawai Negeri,SMA,4,9,Sakit Berat,Tinggi
167,21,171366291.8792228,L,Pekerja Swasta,S3,6,18,Sehat,Sedang
168,47,135862262.47228962,P,Pekerja Swasta,S1,4,13,Sehat,Tinggi
169,54,129674669.41217132,P,Pelajar,S2,4,12,Sakit Ringan,Tinggi
170,40,104124311.8996901,P,Wiraswasta,S2,3,13,Sehat,Tinggi
171,56,132767415.19473632,P,Wiraswasta,S1,3,3,Sehat,Tinggi
172,62,163138985.5754689,P,Wiraswasta,D3,6,6,Sakit Berat,Sedang
173,32,194426772.7344596,L,Wiraswasta,D3,5,17,Sakit Ringan,Rendah
174,60,104111724.47278161,P,Pekerja Swasta,S2,6,5,Sakit Ringan,Sedang
175,46,123257576.53797628,P,Pekerja Swasta,SMA,6,14,Sakit Berat,Sedang
176,53,100064989.11058071,P,Pegawai Negeri,S3,2,10,Sehat,Tinggi
177,30,140327951.7770127,P,Pelajar,S1,6,16,Sakit Ringan,Sedang
178,49,133385690.73102672,L,Pelajar,SMA,6,9,Sakit Ringan,Tinggi
179,24,23210082.234852195,L,Wiraswasta,S3,2,15,Sakit Berat,Tinggi
180,68,117409080.63811852,L,Pegawai Negeri,S2,3,18,Sakit Ringan,Rendah
181,39,35927641.22582252,P,Pegawai Negeri,S1,5,10,Sehat,Sedang
182,45,24749051.2409969,P,Pekerja Swasta,SMA,1,6,Sakit Berat,Sedang
183,19,162415489.17524567,P,Pegawai Negeri,S3,6,20,Sehat,Tinggi
184,59,66556975.18867409,L,Pelajar,S2,6,13,Sakit Ringan,Tinggi
185,62,81317913.91171387,P,Pelajar,S2,6,0,Sakit Berat,Rendah
186,70,31535225.76873192,L,Pegawai Negeri,S3,4,16,Sehat,Tinggi
187,23,52310046.888983116,P,Pekerja Swasta,D3,6,12,Sakit Ringan,Rendah
188,45,157808867.2864026,L,Pelajar,D3,2,7,Sehat,Tinggi
189,45,108835549.44187176,L,Pekerja Swasta,S3,4,18,Sehat,Tinggi
190,61,178520323.2590267,P,Pekerja Swasta,S3,2,7,Sakit Berat,Tinggi
191,61,91503583.66403033,P,Pelajar,S3,6,16,Sehat,Tinggi
192,37,68366132.43576828,L,Pekerja Swasta,S2,1,4,Sakit Ringan,Sedang
193,47,82567966.60255718,L,Wiraswasta,S1,6,10,Sakit Ringan,Rendah
194,28,148298922.8330428,L,Wiraswasta,S2,2,13,Sakit Ringan,Sedang
195,45,119901021.0202075,L,Wiraswasta,S2,6,9,Sakit Ringan,Sedang
196,42,182754417.35943702,L,Pegawai Negeri,D3,1,11,Sehat,Rendah
197,56,128390378.489999,P,Pelajar,S3,2,2,Sakit Ringan,Tinggi
198,50,108743277.52667056,L,Wiraswasta,S2,3,8,Sakit Berat,Tinggi
199,18,161435490.29961193,P,Pekerja Swasta,S2,4,10,Sehat,Tinggi
200,44,190556093.13202015,P,Wiraswasta,S3,5,8,Sakit Berat,Rendah
201,69,84052264.0240947,P,Pekerja Swasta,S1,5,0,Sakit Ringan,Sedang
202,30,64977717.82978598,P,Pelajar,D3,2,17,Sakit Berat,Sedang
203,58,130919131.33294505,P,Wiraswasta,SMA,5,2,Sakit Ringan,Sedang
204,20,109797107.80769858,L,Pelajar,S2,6,13,Sehat,Sedang
205,56,198053403.475661,P,Wiraswasta,S1,4,3,Sakit Berat,Rendah
206,23,103225121.14659199,L,Pekerja Swasta,SMA,3,4,Sehat,Sedang
207,25,33379679.244862255,P,Pekerja Swasta,S3,3,20,Sakit Ringan,Rendah
208,44,195926430.93997446,L,Pegawai Negeri,SMA,1,9,Sehat,Sedang
209,26,171845650.2068372,P,Pegawai Negeri,S3,5,4,Sakit Berat,Rendah
210,54,52085025.9124334,L,Pegawai Negeri,S1,6,2,Sakit Berat,Sedang
211,50,182828945.56031647,L,Wiraswasta,SMA,4,19,Sakit Berat,Sedang
212,68,81320027.74791403,L,Pelajar,D3,5,8,Sakit Ringan,Sedang
213,59,87880157.21620001,P,Wiraswasta,S1,4,11,Sakit Berat,Rendah
214,61,183150466.82518867,L,Pekerja Swasta,SMA,1,1,Sakit Berat,Rendah
215,41,115420801.70635676,P,Pelajar,S2,6,10,Sakit Berat,Sedang
216,32,44797327.29173353,P,Pekerja Swasta,SMA,5,0,Sehat,Tinggi
217,49,86430108.68152472,L,Pegawai Negeri,SMA,3,15,Sakit Ringan,Rendah
218,49,149977540.32821852,P,Pekerja Swasta,D3,1,2,Sakit Ringan,Tinggi
219,41,51353153.852243006,P,Wiraswasta,S1,6,12,Sakit Ringan,Rendah
220,58,126241615.53314458,P,Pekerja Swasta,S2,5,14,Sakit Ringan,Tinggi
221,69,145149343.92999503,P,Pekerja Swasta,S1,3,0,Sakit Berat,Sedang
222,66,81893643.59766428,L,Pekerja Swasta,S1,3,15,Sakit Ringan,Rendah
223,66,144898523.967498,P,Pelajar,S2,4,14,Sakit Ringan,Rendah
224,69,179157323.32927737,L,Pekerja Swasta,S2,3,5,Sakit Berat,Tinggi
225,29,104981013.96198337,P,Pekerja Swasta,D3,2,14,Sakit Berat,Sedang
226,56,88923679.07236141,L,Pegawai Negeri,S3,5,19,Sakit Berat,Rendah
227,19,65208512.24449143,L,Pegawai Negeri,D3,5,17,Sakit Berat,Sedang
228,20,128756986.37539476,P,Wiraswasta,S2,4,16,Sehat,Rendah
229,66,178373368.64696887,P,Pegawai Negeri,SMA,3,13,Sakit Ringan,Tinggi
230,54,78439028.09333493,P,Pekerja Swasta,SMA,4,17,Sakit Berat,Sedang
231,66,91322394.41671462,P,Pegawai Negeri,S1,2,16,Sakit Ringan,Tinggi
232,34,93192593.1589971,P,Pelajar,S1,4,0,Sehat,Sedang
233,66,120946221.51995309,L,Wiraswasta,S3,5,13,Sakit Berat,Rendah
234,19,61113613.08213895,L,Pegawai Negeri,S3,6,6,Sehat,Rendah
235,19,167998007.95538676,L,Wiraswasta,S3,6,0,Sakit Ringan,Tinggi
236,45,73208409.95075983,P,Wiraswasta,S3,4,2,Sehat,Sedang
237,40,146965284.36140275,P,Wiraswasta,SMA,5,10,Sakit Ringan,Tinggi
238,54,112378833.52031936,P,Pelajar,S2,1,17,Sakit Ringan,Sedang
239,49,125461568.60349624,L,Pekerja Swasta,S3,2,13,Sakit Ringan,Rendah
240,50,52329572.98891452,P,Pelajar,D3,2,2,Sakit Ringan,Rendah
241,18,152304175.67207068,L,Wiraswasta,S3,5,1,Sakit Ringan,Rendah
242,36,53951693.4276736,L,Pegawai Negeri,SMA,6,19,Sakit Berat,Sedang
243,19,40425254.77293904,P,Pegawai Negeri,S1,1,14,Sakit Berat,Rendah
244,70,118402309.97998165,L,Pelajar,D3,3,6,Sehat,Rendah
245,61,147673484.64517975,L,Pegawai Negeri,S3,4,12,Sehat,Sedang
246,43,29006450.55825621,L,Wiraswasta,SMA,3,3,Sakit Berat,Rendah
247,49,32491156.68929757,P,Wiraswasta,S1,1,7,Sakit Ringan,Sedang
248,23,164482249.28706542,L,Pekerja Swasta,S3,2,20,Sakit Ringan,Rendah
249,49,165625885.91131976,P,Wiraswasta,SMA,3,1,Sakit Berat,Sedang
250,21,64154849.07063461,P,Pegawai Negeri,SMA,1,12,Sakit Ringan,Tinggi
251,28,130741076.50403664,L,Pekerja Swasta,S2,2,3,Sehat,Sedang
252,34,99772413.5260387,P,Pegawai Negeri,SMA,6,12,Sakit Ringan,Sedang
253,55,133885287.45263234,L,Pelajar,S3,3,15,Sakit Ringan,Rendah
254,41,175318271.1378605,P,Pekerja Swasta,SMA,6,11,Sehat,Rendah
255,22,34374156.42480617,P,Wiraswasta,D3,2,12,Sehat,Rendah
256,69,160037196.67792177,P,Pekerja Swasta,SMA,5,0,Sakit Berat,Rendah
257,51,108745238.81378707,P,Wiraswasta,SMA,2,2,Sakit Ringan,Tinggi
258,23,121542849.87715936,P,Wiraswasta,D3,2,2,Sehat,Rendah
259,39,137707644.80308163,P,Pegawai Negeri,S3,1,11,Sehat,Tinggi
260,28,186072166.84323934,P,Wiraswasta,S1,1,3,Sehat,Rendah
261,65,30209591.63931282,L,Wiraswasta,S2,4,0,Sehat,Sedang
262,33,25305743.38240058,L,Wiraswasta,S1,1,16,Sehat,Sedang
263,50,52087120.667979226,L,Pegawai Negeri,S3,5,19,Sehat,Sedang
264,26,197560590.68481258,P,Wiraswasta,S3,5,8,Sakit Berat,Rendah
265,23,148713746.1279996,L,Pelajar,D3,6,4,Sakit Ringan,Tinggi
266,33,130635401.42981035,P,Pegawai Negeri,S1,2,20,Sakit Ringan,Sedang
267,46,28467029.614654623,P,Pelajar,SMA,1,2,Sakit Ringan,Sedang
268,20,178239840.30073366,P,Pekerja Swasta,D3,4,20,Sakit Ringan,Tinggi
269,37,166296233.59348872,P,Pegawai Negeri,D3,1,6,Sakit Ringan,Tinggi
270,53,139664007.89607528,P,Pelajar,S2,4,2,Sakit Ringan,Tinggi
271,36,81043546.7872465,P,Pegawai Negeri,D3,2,4,Sakit Ringan,Sedang
272,43,32690892.002286315,P,Wiraswasta,S1,6,11,Sakit Berat,Tinggi
273,20,124406927.82216606,P,Pegawai Negeri,S3,6,2,Sehat,Rendah
274,36,149545022.86295074,L,Pekerja Swasta,S2,5,0,Sehat,Rendah
275,37,36963263.08590454,P,Pelajar,SMA,1,2,Sehat,Rendah
276,49,134078178.76372926,L,Pegawai Negeri,S1,1,15,Sakit Berat,Rendah
277,24,71545892.21968853,L,Wiraswasta,SMA,5,17,Sehat,Rendah
278,69,157563959.8195661,P,Pelajar,D3,5,2,Sakit Berat,Rendah
279,58,117130853.10833067,L,Pelajar,S1,6,4,Sakit Berat,Rendah
280,50,43226621.80587861,P,Pelajar,S2,6,4,Sakit Berat,Sedang
281,57,114773500.59198248,L,Pekerja Swasta,S2,6,8,Sakit Berat,Rendah
282,56,91232635.40600936,P,Wiraswasta,SMA,3,11,Sehat,Tinggi
283,35,52464074.29069734,L,Wiraswasta,S3,3,15,Sakit Ringan,Sedang
284,57,171472830.33118218,P,Pelajar,S2,3,8,Sehat,Sedang
285,18,21985120.729844518,L,Pegawai Negeri,SMA,5,17,Sakit Berat,Rendah
286,28,76183089.83805907,P,Pelajar,S3,3,10,Sakit Berat,Rendah
287,45,22267106.870496817,P,Wiraswasta,S1,1,16,Sakit Berat,Sedang
288,42,37281250.37110749,L,Pekerja Swasta,S2,5,0,Sehat,Rendah
289,67,73477319.45115459,L,Pekerja Swasta,S2,1,2,Sakit Ringan,Tinggi
290,40,29768813.370087244,L,Pelajar,SMA,5,4,Sehat,Sedang
291,48,127393495.8242854,L,Pekerja Swasta,S2,2,0,Sakit Berat,Rendah
292,47,35635323.437512904,P,Pekerja Swasta,SMA,1,14,Sakit Ringan,Rendah
293,59,146308454.13189715,L,Pegawai Negeri,S2,5,16,Sakit Berat,Rendah
294,52,29475580.272889003,L,Pekerja Swasta,SMA,4,3,Sakit Ringan,Sedang
295,24,30675601.064197425,P,Pegawai Negeri,S2,5,13,Sakit Ringan,Tinggi
296,33,74958661.82598794,P,Pelajar,S1,2,1,Sakit Berat,Tinggi
297,43,181382874.49446994,P,Wiraswasta,S1,5,3,Sehat,Sedang
298,65,135450784.77019697,L,Wiraswasta,SMA,2,4,Sehat,Sedang
299,69,158623632.54720548,L,Pegawai Negeri,S1,3,6,Sakit Ringan,Rendah
300,66,45479379.70587909,L,Wiraswasta,SMA,1,3,Sakit Berat,Tinggi
301,19,170142577.98450425,L,Pelajar,SMA,2,7,Sakit Berat,Rendah
302,18,21466324.674962327,P,Wiraswasta,D3,4,10,Sakit Berat,Sedang
303,65,58350323.1319411,L,Pekerja Swasta,S1,1,7,Sehat,Tinggi
304,29,130896617.80699882,L,Pelajar,D3,5,3,Sakit Ringan,Sedang
305,22,87544353.54692906,P,Pelajar,D3,5,10,Sakit Berat,Tinggi
306,54,197154810.50934142,P,Wiraswasta,S2,2,11,Sehat,Sedang
307,49,25461064.427297283,P,Wiraswasta,SMA,4,1,Sehat,Rendah
308,26,199747670.2285778,L,Pegawai Negeri,S3,2,14,Sehat,Tinggi
309,58,132253009.91503689,L,Pekerja Swasta,D3,4,13,Sakit Berat,Tinggi
310,52,120567259.02729738,P,Wiraswasta,S2,6,18,Sakit Ringan,Tinggi
311,36,30712239.661515385,L,Wiraswasta,S1,2,20,Sakit Berat,Sedang
312,65,69199197.79986033,L,Pegawai Negeri,S3,3,16,Sehat,Rendah
313,33,186439283.89248723,P,Wiraswasta,SMA,3,15,Sehat,Rendah
314,20,83764280.57406396,P,Pekerja Swasta,S2,3,4,Sakit Ringan,Tinggi
315,37,139097576.0841052,P,Pekerja Swasta,S3,2,19,Sehat,Rendah
316,41,199909343.0753699,L,Pelajar,SMA,1,20,Sehat,Sedang
317,50,67352548.49003741,L,Pelajar,SMA,5,0,Sehat,Tinggi
318,41,123694558.22260888,L,Pekerja Swasta,S3,1,9,Sakit Ringan,Sedang
319,69,145358802.6863984,P,Pegawai Negeri,S2,5,6,Sehat,Sedang
320,28,49632904.38177473,L,Pelajar,S3,4,9,Sakit Berat,Rendah
321,66,46761061.46531278,L,Pekerja Swasta,D3,3,15,Sehat,Tinggi
322,25,102135424.0984712,P,Pekerja Swasta,SMA,3,4,Sehat,Sedang
323,53,89446253.91667208,L,Pelajar,S1,5,18,Sehat,Tinggi
324,55,148558778.6343165,L,Pekerja Swasta,S3,3,5,Sehat,Tinggi
325,57,32511578.860745527,P,Pekerja Swasta,S3,1,11,Sakit Berat,Sedang
326,37,194989992.27332428,P,Pekerja Swasta,SMA,2,5,Sakit Berat,Rendah
